ProjectID,LibID,rating
zach-m/jonix,xerces:xercesImpl,0
zach-m/jonix,com.squareup.retrofit2:retrofit-mock,0
zach-m/jonix,org.springframework:spring-webmvc,0
zach-m/jonix,org.hibernate:hibernate-annotations,0
zach-m/jonix,commons-cli:commons-cli,0
zach-m/jonix,org.gitlab:java-gitlab-api,0
zach-m/jonix,org.eclipse.jetty:jetty-webapp,0
zach-m/jonix,tec.uom:uom-se,0
zach-m/jonix,com.jakewharton.timber:timber,0
zach-m/jonix,org.openprovenance.prov:prov-model,0
zach-m/jonix,com.asual.summer:summer-samples,0
zach-m/jonix,org.apache.maven:maven-core,0
zach-m/jonix,com.sun.xml.bind:jaxb-core,0
zach-m/jonix,org.springframework:spring-tx,0
zach-m/jonix,com.sun.xml.bind:jaxb-impl,0
zach-m/jonix,org.scijava:pom-scijava,0
zach-m/jonix,org.apache.cxf:cxf-testutils,0
zach-m/jonix,org.eclipse.jetty:jetty-server,0
zach-m/jonix,org.eclipse.jetty:jetty-util,0
zach-m/jonix,com.google.inject:guice,0
zach-m/jonix,org.apache.cxf:cxf-rt-frontend-jaxws,0
zach-m/jonix,com.asual.summer:summer-ajax,0
zach-m/jonix,com.beust:jcommander,0
zach-m/jonix,io.pcp.parfait:examples,0
zach-m/jonix,org.scijava:vecmath,0
zach-m/jonix,org.sonatype.oss:oss-parent,0
zach-m/jonix,javax.validation:validation-api,0
zach-m/jonix,org.pac4j:spring-security-pac4j,0
zach-m/jonix,commons-fileupload:commons-fileupload,0
zach-m/jonix,com.sun.faces:jsf-api,0
zach-m/jonix,io.dropwizard:dropwizard-metrics,0
zach-m/jonix,com.squareup.picasso:picasso,0
zach-m/jonix,com.github.bumptech.glide:glide,0
zach-m/jonix,org.pac4j:pac4j-cas,0
zach-m/jonix,org.assertj:assertj-core,0
zach-m/jonix,com.facebook.stetho:stetho,0
zach-m/jonix,commons-lang:commons-lang,0
zach-m/jonix,com.qualinsight.mavencentral:qualinsight-mavencentral-parent,0
zach-m/jonix,com.fasterxml.jackson.core:jackson-core,0
zach-m/jonix,org.datanucleus:datanucleus-jpa,0
zach-m/jonix,org.datanucleus:datanucleus-core,0
zach-m/jonix,org.hibernate.javax.persistence:hibernate-jpa-2.1-api,0
zach-m/jonix,org.pac4j:pac4j-oauth,0
zach-m/jonix,org.apache.cxf:cxf-rt-frontend-jaxrs,0
zach-m/jonix,org.springframework:spring-core,0
zach-m/jonix,org.pac4j:pac4j-oidc,0
zach-m/jonix,com.squareup.leakcanary:leakcanary-android-no-op,0
zach-m/jonix,org.apache.cxf:cxf-rt-ws-security,0
zach-m/jonix,io.pcp:parfait,0
zach-m/jonix,org.glassfish.web:jsp-impl,0
zach-m/jonix,org.codehaus.jackson:jackson-xc,0
zach-m/jonix,org.apache.logging.log4j:log4j-slf4j-impl,0
zach-m/jonix,org.unitils:unitils-core,0
zach-m/jonix,org.jboss.resteasy:jaxrs-api,0
zach-m/jonix,nz.ac.waikato.cms.weka:weka-dev,0
zach-m/jonix,org.sonarsource.sslr-squid-bridge:sslr-squid-bridge,0
zach-m/jonix,com.android.support.test:rules,0
zach-m/jonix,com.github.bumptech.glide:okhttp-integration,0
zach-m/jonix,org.sonarsource.java:java-checks-testkit,0
zach-m/jonix,org.openrdf.sesame:sesame-rio-n3,0
zach-m/jonix,com.jayway.jsonpath:json-path,0
zach-m/jonix,org.apache.logging.log4j:log4j-core,0
zach-m/jonix,com.google.code.findbugs:jsr305,0
zach-m/jonix,com.github.fge:json-schema-validator,0
zach-m/jonix,org.apache.maven:maven-compat,0
zach-m/jonix,io.pcp.parfait:parfait-spring,0
zach-m/jonix,com.fasterxml.jackson.dataformat:jackson-dataformat-xml,0
zach-m/jonix,javax.xml.bind:jaxb-api,0
zach-m/jonix,com.github.spullara.mustache.java:compiler,0
zach-m/jonix,org.openprovenance.prov:prov-generator,0
zach-m/jonix,sc.fiji:imagescience,0
zach-m/jonix,org.pac4j:pac4j-saml,0
zach-m/jonix,org.jdom:jdom2,0
zach-m/jonix,org.atmosphere:atmosphere-jersey,0
zach-m/jonix,com.thoughtworks.xstream:xstream,0
zach-m/jonix,log4j:log4j,0
zach-m/jonix,sc.fiji:VIB-lib,0
zach-m/jonix,com.google.appengine.orm:datanucleus-appengine,0
zach-m/jonix,org.mortbay.jetty:jetty,0
zach-m/jonix,org.codehaus.izpack:izpack-wrapper,0
zach-m/jonix,io.dropwizard:dropwizard-configuration,0
zach-m/jonix,com.squareup.leakcanary:leakcanary-android,0
zach-m/jonix,org.springframework:spring-context,0
zach-m/jonix,org.bouncycastle:bcprov-jdk15on,0
zach-m/jonix,com.qualinsight.plugins.sonarqube:qualinsight-plugins-sonarqube-smell-api,0
zach-m/jonix,org.apache.maven:maven-model,0
zach-m/jonix,com.google.dagger:dagger,0
zach-m/jonix,org.codehaus.jackson:jackson-core-asl,0
zach-m/jonix,org.openrdf.sesame:sesame-runtime,0
zach-m/jonix,org.hibernate.javax.persistence:hibernate-jpa-2.0-api,0
zach-m/jonix,org.jacoco:org.jacoco.agent,0
zach-m/jonix,org.eclipse.jetty:jetty-jmx,0
zach-m/jonix,net.imglib2:imglib2,0
zach-m/jonix,org.eclipse.jetty:jetty-start,0
zach-m/jonix,javax.el:el-api,0
zach-m/jonix,com.h2database:h2,0
zach-m/jonix,io.pcp.parfait:parfait-pcp,0
zach-m/jonix,org.aspectj:aspectjweaver,0
zach-m/jonix,com.asual.lesscss:lesscss-servlet,0
zach-m/jonix,org.springframework:spring-aspects,0
zach-m/jonix,org.apache.commons:commons-lang3,0
zach-m/jonix,org.mozilla:rhino,0
zach-m/jonix,org.hamcrest:hamcrest-all,0
zach-m/jonix,org.openprovenance.prov:ProvToolbox,0
zach-m/jonix,sc.fiji:Anisotropic_Diffusion_2D,0
zach-m/jonix,org.datanucleus:datanucleus-enhancer,0
zach-m/jonix,org.apache.geronimo.specs:geronimo-jpa_3.0_spec,0
zach-m/jonix,org.eclipse.jetty:jetty-plus,0
zach-m/jonix,com.asual.summer:summer-core,0
zach-m/jonix,com.github.dreamhead:moco-core,0
zach-m/jonix,com.squareup.okhttp3:logging-interceptor,0
zach-m/jonix,javax.inject:javax.inject,0
zach-m/jonix,org.hibernate:hibernate-entitymanager,0
zach-m/jonix,org.apache.logging.log4j:log4j-api,0
zach-m/jonix,com.squareup.retrofit2:converter-gson,0
zach-m/jonix,org.aspectj:aspectjrt,0
zach-m/jonix,org.springframework:spring-orm,0
zach-m/jonix,org.eclipse.jetty:jetty-xml,0
zach-m/jonix,javax.servlet:javax.servlet-api,0
zach-m/jonix,net.sourceforge.nekohtml:nekohtml,0
zach-m/jonix,com.fasterxml.jackson.core:jackson-annotations,0
zach-m/jonix,org.codehaus.woodstox:stax2-api,0
zach-m/jonix,io.pcp.parfait:parfait-core,0
zach-m/jonix,com.github.stephenc.jcip:jcip-annotations,0
zach-m/jonix,org.eclipse.jetty:jetty-servlet,0
zach-m/jonix,hsqldb:hsqldb,0
zach-m/jonix,com.firebase:firebase-client-android,0
zach-m/jonix,org.hsqldb:hsqldb,0
zach-m/jonix,org.openprovenance.prov:prov-template,0
zach-m/jonix,com.google.appengine:appengine-api-labs,0
zach-m/jonix,org.eclipse.jetty:jetty-websocket,0
zach-m/jonix,pl.pragmatists:JUnitParams,0
zach-m/jonix,org.springframework:spring-beans,0
zach-m/jonix,org.postgresql:postgresql,0
zach-m/jonix,com.google.jimfs:jimfs,0
zach-m/jonix,org.apache.geronimo.specs:geronimo-jta_1.1_spec,0
zach-m/jonix,com.google.code.gson:gson,0
zach-m/jonix,org.pac4j:pac4j-jwt,0
zach-m/jonix,com.asual.summer:summer-json,0
zach-m/jonix,org.pac4j:pac4j-sql,0
zach-m/jonix,org.eclipse.jetty:jetty-continuation,0
zach-m/jonix,net.jcip:jcip-annotations,0
zach-m/jonix,com.google.guava:guava,0
zach-m/jonix,com.android.support.test.espresso:espresso-core,0
zach-m/jonix,com.asual.summer:summer-xml,0
zach-m/jonix,cglib:cglib,0
zach-m/jonix,com.google.dexmaker:dexmaker-mockito,0
zach-m/jonix,com.asual.summer:summer-jquery,0
zach-m/jonix,org.openrdf.sesame:sesame-rio-rdfxml,0
zach-m/jonix,com.asual.summer:summer-plugins,0
zach-m/jonix,systems.uom:systems-quantity,0
zach-m/jonix,org.apache.maven:maven-plugin-api,0
zach-m/jonix,org.apache.httpcomponents:httpclient,0
zach-m/jonix,com.tectonica:jonix-json,1
zach-m/jonix,org.slf4j:slf4j-api,1
zach-m/jonix,com.tectonica:jonix-codegen,1
zach-m/jonix,com.fasterxml.jackson.core:jackson-databind,1
zach-m/jonix,com.tectonica:jonix-common,1
zach-m/jonix,org.jsoup:jsoup,1
zach-m/jonix,com.tectonica:jonix,1
zach-m/jonix,com.tectonica:jonix-onix3,1
zach-m/jonix,com.tectonica:jonix-parent,1
zach-m/jonix,com.tectonica:jonix-onix2,1
zach-m/jonix,com.tectonica:jonix-xml,1
zach-m/jonix,junit:junit,1
zach-m/jonix,org.slf4j:slf4j-jdk14,1
fiji/Trainable_Segmentation,com.typesafe:config,0
fiji/Trainable_Segmentation,org.pac4j:pac4j-http,0
fiji/Trainable_Segmentation,com.asual.summer:summer-atmosphere,0
fiji/Trainable_Segmentation,com.android.support.test.espresso:espresso-contrib,0
fiji/Trainable_Segmentation,com.squareup.retrofit2:retrofit,0
fiji/Trainable_Segmentation,org.hibernate:hibernate-validator,0
fiji/Trainable_Segmentation,org.pac4j:pac4j-ldap,0
fiji/Trainable_Segmentation,com.github.bumptech.glide:okhttp3-integration,0
fiji/Trainable_Segmentation,org.pac4j:pac4j-kerberos,0
fiji/Trainable_Segmentation,org.apache.cxf:cxf-api,0
fiji/Trainable_Segmentation,com.google.dexmaker:dexmaker,0
fiji/Trainable_Segmentation,org.codehaus.woodstox:woodstox-core-asl,0
fiji/Trainable_Segmentation,org.easytesting:fest-assert,0
fiji/Trainable_Segmentation,ch.qos.logback:logback-classic,0
